Fp1,Fp2,C3,C4,P7,P8,O1,O2
15926.288476739941,5280.957255477579,-22553.84892867195,-30715.610768271777,-33789.69088669907,-34136.16527750078,-20484.457371766257,-28497.848331671757
15918.979456303055,5337.618927671781,-22531.36307374991,-30662.771244379433,-33877.26502147496,-34072.97689592563,-20500.036537651606,-28399.366545601675
15889.47515362205,5331.427494457662,-22520.74599513364,-30654.992837308986,-33850.08530021731,-34084.89037572031,-20503.076374897526,-28492.215692069018
15896.918284525667,5278.498563587495,-22545.444672756752,-30701.596224498302,-33762.55586893033,-34153.040844564544,-20488.59244449049,-28599.437010221125
15920.052340036911,5275.95046471959,-22559.258050830133,-30709.061707146375,-33780.10198832774,-34140.74738511412,-20479.316470541533,-28518.277826103906
15912.832726577846,5321.168043752676,-22542.449538999743,-30676.472863730534,-33874.6945708626,-34085.31505886496,-20498.986005662206,-28401.512313069383
15892.850267034803,5332.634488658248,-22520.097794544436,-30667.487462459503,-33873.17465223964,-34089.24896588909,-20516.085090170516,-28475.764808149914
15897.924113026156,5289.585028837327,-22527.272704514588,-30698.332869807826,-33770.04370332285,-34146.13415552785,-20490.224121835723,-28593.22322526255
15914.263238222986,5265.020461680944,-22566.321202078012,-30733.961550469587,-33772.74826440195,-34162.36152200241,-20482.333956043,-28546.686893306603
15928.367188974285,5320.072808274366,-22543.969457622705,-30692.83434067182,-33861.574096867334,-34096.04389620351,-20490.112363113447,-28416.510333598893
15910.664607365681,5348.951262110622,-22506.105602515414,-30652.60120065227,-33873.15230049519,-34067.65718074527,-20498.717784728742,-28444.472365912483
15903.467345651074,5304.784215066936,-22516.186239264756,-30683.26779404495,-33784.54998547435,-34128.61038787489,-20488.234816579203,-28581.04152453441
15927.160194773698,5283.304188645386,-22550.965553637216,-30716.862465961276,-33750.88825832466,-34151.83385036395,-20460.272784265613,-28567.11638773875
15933.373979732274,5322.017410041977,-22546.584611723974,-30692.901395905188,-33839.7364425345,-34104.49285560761,-20471.47100823772,-28439.599685621226
15905.836630563335,5345.844369631335,-22515.292169486544,-30657.675046643624,-33889.536129180924,-34068.12656737883,-20492.280482325612,-28445.791118835346
15897.655892092693,5316.876508817257,-22512.45349794072,-30673.813006140354,-33801.35849730474,-34112.18185570024,-20470.91221462634,-28571.27381220744
15918.86769758078,5282.410118867174,-22533.665303428807,-30712.07919264784,-33740.7629180864,-34142.22260024817,-20447.174662014804,-28587.635289148726
15928.255430252007,5310.327447691852,-22545.958762879225,-30704.300785577394,-33825.20780863855,-34103.77759978505,-20461.502130210654,-28468.791063879857
15903.556752628894,5339.071791061377,-22530.111376060413,-30675.467035230045,-33897.80627462939,-34065.64552374429,-20482.15514208736,-28436.269275697385
15890.793906544914,5313.926078549156,-22508.094907771934,-30684.899471390185,-33812.31085208784,-34096.89326249281,-20455.444807463267,-28543.87057350523
15906.350720685807,5271.457764084073,-22543.85769890043,-30728.373614355758,-33742.61811287619,-34145.977693316665,-20445.23006024719,-28599.928748599144
15923.226287749565,5288.266275914464,-22566.500016033653,-30723.567989297866,-33810.2321398535,-34108.11383820937,-20446.258240492134,-28484.951375121043
15910.217572476575,5334.310869492397,-22532.435957483765,-30681.16673006615,-33880.93070756563,-34050.133413092306,-20446.347647469956,-28409.268368395373
15896.76182231448,5327.694753133625,-22507.670224627283,-30681.613764955255,-33825.25251212746,-34085.56092805397,-20445.341818969468,-28520.848276716268
15905.143726485221,5276.241037397509,-22537.46509998621,-30731.413451601682,-33750.150650757634,-34148.74930962912,-20439.016275288617,-28616.89372264072
15920.186450503643,5281.359586877774,-22560.64385898636,-30737.09079469333,-33798.76569494792,-34120.78727731553,-20440.022103789106,-28519.26130285994
15906.350720685807,5330.823997357368,-22543.79064366706,-30699.74102970851,-33889.536129180924,-34069.06534064595,-20457.2776505086,-28420.511295856395
15884.691880308616,5329.169968267675,-22517.192067765245,-30689.77215168144,-33857.394320654195,-34087.57258505495,-20457.94820284226,-28509.448887044062
15898.19233395962,5288.601552081293,-22533.620599939895,-30733.447460347114,-33763.986380575465,-34143.876629337865,-20449.90157483835,-28624.29215005543
15926.266124995485,5287.1263369472435,-22550.98790538167,-30746.61263783129,-33772.033008579376,-34131.13613499834,-20445.498281180655,-28553.101843965276
15922.801604604914,5330.9804595685555,-22531.564239450006,-30713.84498045981,-33862.73638757901,-34076.37436108284,-20456.562394686032,-28437.096290242232
15896.426546147652,5338.803570127913,-22508.519590916585,-30690.59916622629,-33859.920067777646,-34072.32869533643,-20464.407856989845,-28489.73464843448
15900.651025849704,5293.340121905819,-22523.09292830145,-30727.41248934418,-33768.83670912227,-34130.443230920224,-20452.76259812863,-28613.451553994604
15920.34291271483,5268.1720576491425,-22560.21917584171,-30764.404626417712,-33771.22834577899,-34143.04961479302,-20453.790778373575,-28579.678068122634
15927.651933151716,5318.843462329324,-22539.812033154016,-30724.618521287266,-33853.326303163325,-34075.70380874918,-20462.843234877975,-28446.215801979997
15901.410985161185,5341.463427718095,-22515.44863169773,-30696.477675018035,-33875.074550518344,-34061.13047136432,-20477.349517029466,-28468.29932550184
15892.917322268167,5297.855174285791,-22527.9656085927,-30728.239503889028,-33786.986325619975,-34125.54819888451,-20469.414647747835,-28603.728545156548
15908.496488153516,5263.455839569073,-22562.052018887047,-30767.198594474627,-33761.684150896566,-34147.587018917446,-20463.625545933908,-28603.14739980071
