Fp1,Fp2,C3,C4,P7,P8,O1,O2
13954.171711703744,6465.6220633533085,-31786.90752827019,-39067.85417411973,-35986.8450149113,-43395.37541811173,-31561.1996127605,-44195.97020101192
14031.620506241383,6464.0350894969815,-31801.81614182188,-39103.84048269278,-35776.8950792426,-43416.31900266636,-31464.46126275793,-44163.94015120747
14120.781614873602,6355.047983532904,-31939.413480688752,-39254.044205432445,-35753.962189431455,-43561.068899758924,-31540.77011832835,-44277.59877176271
14062.68943103426,6350.667041619664,-31950.164669771755,-39232.72064122208,-35969.276543769425,-43554.81041131144,-31652.059453971324,-44336.49561840244
13965.660508353772,6454.356784147833,-31818.177618763166,-39083.41098826063,-36017.578663537344,-43412.049819475396,-31593.83315966525,-44237.723259654435
14004.887819872836,6460.995252251059,-31788.785074804437,-39085.08736909478,-35814.98245179444,-43401.768017025955,-31479.839262943184,-44172.50086933385
14122.368588729929,6376.371547743267,-31907.942224495677,-39225.09869636282,-35732.86214266565,-43529.217663910116,-31519.62536807363,-44257.54925698629
14085.085878978478,6339.759390325474,-31958.41246347576,-39256.972283956085,-35930.51861888392,-43562.34294919288,-31643.006997466924,-44335.84741781324
13965.705211842682,6425.254812867023,-31833.846191626337,-39126.035764936896,-36037.49406784702,-43434.78154358644,-31621.25875011191,-44263.09248961121
13980.591473649916,6464.2139034526235,-31782.48188286804,-39086.20495631754,-35855.260295302905,-43387.93228720812,-31500.559330053253,-44178.580543825694
14106.498850166661,6387.145088570725,-31893.50299757755,-39212.49231249002,-35720.07694483721,-43505.502463043034,-31501.22988238691,-44238.773791643835
14095.926475039301,6336.853663546284,-31970.102425825888,-39276.127728954285,-35892.00656318743,-43572.31182721994,-31630.15474440512,-44326.213815953
13974.422392180251,6409.139205114747,-31859.707159961126,-39152.097898971784,-36039.08104170335,-43457.24504676402,-31635.027424696378,-44272.07789088225
13952.316516913954,6460.347051661855,-31789.925013771655,-39088.708351696536,-35903.18243541508,-43387.574659296835,-31521.458211118963,-44182.31328514973
14077.665099819316,6398.991513132038,-31881.187186382675,-39203.79748389691,-35733.37623278812,-43492.06906462539,-31498.95000445247,-44229.16254152806
14112.869097336425,6341.838102559817,-31969.029542092034,-39294.05382800744,-35847.03485334335,-43576.26808598854,-31612.519218029884,-44330.19242646604
14005.491316973128,6406.658161480208,-31880.36017183783,-39172.28152421493,-36020.93142520564,-43472.086605082346,-31641.397671866143,-44291.38979809163
13961.748953074093,6472.305234945445,-31776.178690931643,-39075.9231538681,-35926.20473220405,-43372.464880045045,-31529.124859467134,-44179.20639267044
14062.108285678421,6424.740722744552,-31852.59930522434,-39170.2475154695,-35739.52296251333,-43456.46273570809,-31485.89658569057,-44193.824433544214
14125.60959167595,6350.8682073197615,-31961.72052165515,-39283.03441799097,-35807.74048659092,-43567.26033297305,-31591.642688708627,-44302.543318574826
14033.29688707553,6396.823393919873,-31901.84019825938,-39194.7003239036,-36006.42514305415,-43491.68908496965,-31646.98560797997,-44296.39658884962
13958.954985017179,6473.0204907680145,-31782.772455545957,-39075.20789804553,-35959.59823842028,-43373.5377637789,-31546.827441075737,-44186.135433451585
14050.865358217403,6439.604632807331,-31816.791810606937,-39139.26799765444,-35753.38104407561,-43433.59690113031,-31479.10165537616,-44183.16265143903
14135.779635403114,6351.4493526756,-31946.23076274762,-39271.59032482986,-35776.403340864585,-43566.16509749473,-31573.29190651082,-44298.52000457287
14059.157855410322,6372.504695952499,-31914.915968765734,-39225.165751596185,-35980.13949157471,-43527.40717260924,-31655.300456917343,-44323.39749615163
13967.71686884366,6469.310101188434,-31780.961964245078,-39079.20886030303,-35986.15211083319,-43391.2403453875,-31576.44350247902,-44215.46092217695
14020.824613669469,6454.46854287011,-31807.024098279966,-39115.15046538717,-35787.53450960333,-43419.80587480139,-31489.674030503516,-44181.106290949145
14126.101330053965,6366.134448782736,-31940.352253955873,-39255.027682188476,-35753.202230119976,-43548.39546065277,-31551.163679500067,-44270.55797225928
14070.490189849163,6356.8584748337835,-31949.7399866271,-39246.24344661754,-35963.53214544441,-43548.216646697125,-31658.69792207455,-44324.269214185384
13959.804351306482,6447.22657766659,-31807.33702270234,-39101.40414254715,-36020.30557636089,-43413.52503460945,-31604.383183048154,-44236.695079409496
13992.281436000043,6455.94375800416,-31798.77630457596,-39109.8307502068,-35829.7569548794,-43413.748552054,-31503.353298110163,-44191.76807305433
14104.666007121326,6367.050870305404,-31924.057832247956,-39249.75267049702,-35742.24987533687,-43541.73464080509,-31537.171487471045,-44258.778602931336
14081.621358587905,6345.950823539594,-31962.882812366825,-39258.40279560123,-35932.19499971807,-43566.85800157285,-31653.109985960724,-44320.648231583626
13975.830552080937,6446.801894521939,-31826.24659851153,-39109.76369497344,-36028.978053209554,-43430.11002899528,-31618.800058221826,-44243.51236146836
13985.352395218897,6488.733767120096,-31769.204946661586,-39068.3235607533,-35853.27099004638,-43382.29964760538,-31503.75562951036,-44171.89737223356
14104.710710610238,6405.518222512987,-31889.41262834223,-39203.66337343018,-35726.38013677361,-43506.03890490996,-31513.925673237525,-44233.56583518575
