Fp1,Fp2,C3,C4,P7,P8,O1,O2
14473.872122034089,4981.868562921115,-25408.814896203865,-32913.63661451777,-37322.786429260545,-36613.856150371575,-24541.008417726567,-33531.17061032899
14390.522466960248,4999.034702662791,-25395.806180930875,-32874.4093029987,-37550.32718781557,-36590.11859776003,-24688.105247986943,-33596.70592507195
14288.911436666422,5036.272708925332,-25338.719825592023,-32805.29770914289,-37607.190025709875,-36528.271320852204,-24685.870073541413,-33569.570907303205
14359.297079956184,5023.845139008181,-25336.5293546354,-32830.26460769947,-37379.64926715485,-36541.39179484747,-24530.078414687923,-33499.69935413592
14475.749668568335,4989.490507780374,-25385.30086103688,-32895.33053580887,-37293.28212657954,-36594.477187928824,-24509.89478944478,-33513.02099383128
14424.161842365485,4996.754824728349,-25395.962643142062,-32877.829119900365,-37507.27772799465,-36591.16912974943,-24663.183052919278,-33590.78271279129
14293.627654746493,5028.159025688055,-25348.420482685626,-32812.98670923552,-37615.61663336952,-36540.162448902425,-24696.50950390214,-33585.39594237756
14330.731550542301,5023.308697141254,-25332.88602028919,-32825.77190706395,-37412.774552437615,-36536.54146630067,-24556.43112140073,-33513.13275255355
14460.572834083181,4988.328217068698,-25375.555500454368,-32897.49865502103,-37275.35602752639,-36597.986411808306,-24497.824847438915,-33510.428191474464
14437.259964616296,4984.439013533475,-25394.68859370811,-32896.962213154104,-37461.88133500592,-36610.32457474763,-24635.24337235014,-33582.6243260651
14305.407024074439,5018.324258127721,-25354.20958449955,-32827.94002627612,-37625.11612476303,-36553.61819906452,-24708.914722074835,-33593.621384337115
14305.742300241269,5020.961763973447,-25336.082319746296,-32822.44149714011,-37468.2962856646,-36535.84856222255,-24589.82462761696,-33526.70026143792
14445.32894436466,4993.200897359955,-25378.97531735603,-32885.763989182,-37287.493024765616,-36584.86593781304,-24499.14360036178,-33500.436961702944
14462.29391840624,4986.115394367623,-25401.438820533614,-32898.66094573271,-37421.44702928627,-36607.46355145735,-24616.803183174514,-33567.51454681332
14330.21746041983,5020.8723569956255,-25367.464168961546,-32829.97403502155,-37627.64187188648,-36555.18282117639,-24720.336463491498,-33601.7797710633
14307.508088053239,5042.732363072916,-25324.705281818544,-32796.91580497215,-37497.286498223126,-36515.79904744614,-24593.11033405189,-33525.42621200397
14429.861537201588,5010.456444079452,-25369.341715495793,-32864.35101799381,-37290.46580677817,-36565.08464397009,-24493.712126459137,-33492.591499399125
14467.52422660878,4983.857868177637,-25412.055899149884,-32908.67452724869,-37384.074912557,-36608.804656124674,-24588.01413631608,-33554.3717210736
14340.611021591547,5002.722740497916,-25387.35722152677,-32854.56095392239,-37611.168636222916,-36572.57247836262,-24708.244169741174,-33599.902224529054
14287.771497699201,5035.155121702566,-25338.6304186142,-32804.2918806424,-37554.70812972881,-36523.91273068342,-24637.813822962504,-33546.839183192154
14407.956827635388,5017.609002305151,-25359.59635491328,-32849.46475618658,-37311.58820528844,-36548.99138796227,-24496.46139102714,-33484.991906284326
14472.329851666673,4978.26993206381,-25419.16375388667,-32907.109905136815,-37341.874819025375,-36604.31195548915,-24553.637153343818,-33533.58459873016
14367.544873660192,4994.296132838265,-25401.774096700443,-32863.79222438243,-37582.42429285339,-36577.31104818715,-24699.9293208038,-33595.96831750492
14286.832724432079,5030.304793155765,-25333.891848789677,-32802.23552015251,-37577.30574337313,-36517.34131781355,-24657.662172038818,-33550.66133149402
14363.342745702595,4997.537135784285,-25357.696456634578,-32856.17027952317,-37346.6133888499,-36553.28292289769,-24516.42149882573,-33494.89372907802
14455.633098558557,4959.919149866003,-25423.45528882209,-32920.09626866535,-37323.16640891629,-36620.24874928579,-24544.60704858387,-33534.92570339748
14383.32520524564,4984.886048422582,-25406.713832225065,-32881.7630269245,-37550.90833317141,-36599.32751647562,-24691.145085232867,-33597.51058787234
14278.808448172624,5024.538043086296,-25342.989008782984,-32814.17135169165,-37608.88875828848,-36538.03903317917,-24690.809809066035,-33572.67779978249
14331.826786020612,5005.203784132455,-25352.555555409857,-32845.173221251156,-37390.26634577112,-36552.70177754185,-24546.95398175168,-33505.890787350036
14447.899394977021,4969.440993003964,-25406.557370013878,-32914.597739529345,-37298.44537954871,-36611.91154860396,-24524.825754740927,-33520.285310779254
14409.968484636365,4981.6673972210165,-25404.501009523992,-32892.08953286285,-37506.60717566099,-36605.586004923105,-24668.256898910633,-33591.47561686941
