Fp1,Fp2,C3,C4,P7,P8,O1,O2
14706.442023091558,5022.168758174033,-23505.675614556745,-31526.599112343683,-34936.648301678695,-34901.91369079515,-21150.159376878666,-30687.581680724823
14707.179630658584,4974.514838995318,-23519.89132403032,-31559.47852843744,-34854.10330940525,-34960.09528161231,-21127.56176323435,-30811.14212407376
14724.949267500553,4957.818085887205,-23554.692990147232,-31586.56884271727,-34866.19560315557,-34967.001970649006,-21127.986446379,-30755.396873402224
14727.72088381301,5008.377731845108,-23544.23237374215,-31552.258914978378,-34949.76877567396,-34915.615310146255,-21137.37417905023,-30616.994871734965
14702.329302111782,5022.816958763237,-23519.46664088567,-31527.18025769952,-34968.11955787177,-34912.82134208934,-21165.939708464113,-30669.476767716023
14702.351653856238,4983.097908866156,-23522.21590545367,-31549.666112621562,-34885.50751036495,-34946.438365750124,-21164.933879963624,-30817.825295665898
14729.017284991418,4963.227208045389,-23548.18863251074,-31577.96342110198,-34851.44345181507,-34964.766796203476,-21130.065158613346,-30777.39098994625
14733.711151327034,5002.074539908712,-23549.596792411423,-31556.39398770261,-34929.27222600844,-34916.308214224366,-21135.362522049254,-30633.06577599833
14705.369139357703,5025.141540186589,-23521.679463586745,-31526.33089141022,-34963.4033397917,-34899.96908902754,-21153.735655991513,-30651.97535180752
14697.076642164784,4990.719853725416,-23515.5997890949,-31543.42997591853,-34888.703809822066,-34949.657016951685,-21152.998048424488,-30797.57461518939
14721.06006396533,4957.862789376115,-23540.186707995737,-31577.33757225723,-34844.80498371184,-34981.3070871004,-21129.618123724238,-30797.842836122854
14722.803500032844,4978.158173341533,-23553.24012675764,-31569.268592508866,-34917.91753982515,-34928.86989460825,-21139.877574429225,-30659.060854799853
14708.520735325901,5016.022028448824,-23518.93019901874,-31529.080155978223,-34962.01753163547,-34892.324792423824,-21164.844472985802,-30636.10561324425
14692.04749966234,4984.439013533475,-23507.575512835447,-31543.944066041004,-34886.312173165345,-34943.152659315194,-21154.160339136164,-30776.72043761259
14713.505174339436,4948.072725304691,-23535.671655615766,-31580.690333925526,-34827.34827129224,-34976.16618587568,-21131.495670258486,-30813.24318805256
14733.554689115846,4974.403080273042,-23553.37423722437,-31578.253993779897,-34890.648411589675,-34940.78337440293,-21139.09526337329,-30681.12202657724
14716.455604607536,5018.212499405444,-23528.206172967693,-31541.127746239636,-34955.26730480997,-34901.980746028516,-21162.877519473735,-30627.276674184406
14697.389566587159,5006.075502166213,-23509.676576814247,-31535.964493270458,-34906.92048155314,-34927.57349342984,-21162.51989156245,-30747.93139075415
14709.794784759855,4962.713117922916,-23533.727053848157,-31574.364790244676,-34831.25982657192,-34971.96405791808,-21131.361559791752,-30807.789362405463
14727.519718112913,4970.469173248908,-23560.303278005515,-31581.897328126113,-34877.796158527875,-34945.030205849434,-21130.020455124435,-30690.308593548372
14721.350636643248,5021.274688395821,-23540.365521951382,-31540.121917739147,-34957.65894146668,-34895.78931281439,-21146.71720823255,-30595.313679613315
14699.557685799324,5020.224156406422,-23518.997254252106,-31531.069461234747,-34929.36163298626,-34921.98555731602,-21161.33524910632,-30713.129724637238
14702.776337000889,4967.205818558433,-23540.052597529007,-31574.49890071141,-34848.73889073597,-34979.2060231216,-21155.94847869259,-30831.81748769492
14735.812215305832,4970.782097671282,-23555.85528085891,-31578.119883313168,-34864.94390546607,-34953.34505478681,-21142.80565295287,-30717.041279916917
