Fp1,Fp2,C3,C4,P7,P8,O1,O2
13422.55782157872,9609.551383203434,-36122.34128979937,-46060.86564789601,-41806.769884439695,-50221.12878812895,-31911.11617220833,-52966.682966552136
13451.168054481514,9708.72607335163,-35998.579680750336,-45944.703631961784,-41618.5234926371,-50103.04452217156,-31732.033995632413,-52825.956383461526
13517.284514580311,9561.048097735416,-36196.9961162801,-46160.241503744306,-41589.60033531193,-50301.1256815345,-31713.19147505659,-52977.791783546425
13510.131956354613,9460.73346862,-36330.368975444915,-46290.37335996311,-41759.74181410573,-50434.16326453248,-31881.209538127132,-53123.838081817405
13436.393551396555,9579.309472955403,-36162.507374585555,-46104.33979086159,-41823.556044525634,-50267.64276834045,-31934.876076564324,-53006.06674028239
13434.873632773595,9695.382081911812,-36008.41444831067,-45954.60545475548,-41661.66235943584,-50117.796673512064,-31773.85410950829,-52848.62105233921
13513.81999418974,9591.357063216814,-36153.141993658784,-46114.442779355384,-41576.05517817201,-50262.18894269335,-31696.76294288194,-52941.447847062096
13534.137729899614,9464.488561688491,-36317.31555668301,-46281.522069158804,-41727.085915456526,-50430.27406099726,-31844.217401053596,-53111.14229096679
13463.863845332127,9557.002431989007,-36187.36251441986,-46134.69345983189,-41820.94089042436,-50295.80596635413,-31929.46695440614,-53027.05502832592
13432.79492053925,9692.498706877079,-36008.88383494423,-45945.15066685089,-41686.69631322579,-50107.827795485,-31794.171845218167,-52846.02824998239
13513.328255811723,9633.28893581497,-36096.05563831993,-46047.611063434015,-41556.497401773624,-50198.1511948289,-31677.160462994634,-52890.2847040039
13540.753846258385,9472.624596670223,-36303.05514372053,-46264.98177826188,-41682.91886841284,-50401.12738622754,-31801.59262437733,-53073.636063770784
13456.75599059534,9510.086120377317,-36237.96686386667,-46189.96932386987,-41831.71443125182,-50337.55902499665,-31937.334768454406,-53053.38538329428
13417.327513376178,9669.655224043754,-36028.285149131436,-45967.61417002847,-41724.96249973327,-50126.178577682804,-31828.68293865716,-52862.725003090505
13473.586854170188,9631.903127658741,-36085.95264982613,-46040.52556044168,-41587.52162307759,-50187.6458749349,-31699.758076638947,-52882.48394518899
13517.709197724962,9465.650852400167,-36297.713076795706,-46271.15085973154,-41671.72064444073,-50409.55399388719,-31788.136874215234,-53076.005348683044
13467.551883167254,9480.894742118686,-36266.08535839145,-46225.463894064895,-41821.27616659119,-50372.65126379148,-31925.287178192997,-53076.27356961651
13413.4159580965,9649.851578456351,-36045.29482666193,-45987.12724293795,-41754.82443032556,-50149.5361506386,-31852.10756684632,-52882.34983472226
13469.854112846151,9670.01285195504,-36031.72731777756,-45984.57914407005,-41583.38655035336,-50144.32819418052,-31690.526806178907,-52844.66479357061
13533.713046754963,9509.393216299202,-36250.84146867293,-46214.15391137051,-41624.67022236231,-50367.10803116656,-31742.338149826308,-53036.26394704151
13491.781174156808,9480.961797352053,-36288.03477144656,-46232.70585926841,-41789.290820275644,-50390.71147331136,-31896.185206912185,-53087.60590405535
13412.767757507296,9622.783615920975,-36072.385140941755,-46018.5090921532,-41776.013884069194,-50188.29407552411,-31875.107511890834,-52920.05722761837
13461.874540075605,9688.117764963838,-35995.38338129323,-45948.52578026364,-41589.42152135629,-50116.56732756703,-31701.009774328446,-52824.52587181638
13543.212538148468,9541.155045170193,-36190.00002026559,-46161.13557352252,-41572.724768248176,-50310.334600250084,-31693.924271336113,-52973.9025800112
13527.25339260738,9483.040509586395,-36267.31470433649,-46232.28117612376,-41737.23360743924,-50387.91750525445,-31853.046340113444,-53073.03256667049
13448.32938293569,9620.414331008713,-36082.44342594664,-46025.236967234254,-41766.06735778658,-50197.12301458395,-31868.35728506533,-52928.305021322376
13429.732731548875,9674.10322119036,-36005.86634944277,-45956.170076867355,-41620.51279789362,-50118.221356656715,-31730.402318287175,-52830.04675269685
13495.782136414307,9531.186167143127,-36189.26241269856,-46161.493201433805,-41585.75583526562,-50308.38999848247,-31706.41889648663,-52966.884132252235
