Fp1,Fp2,C3,C4,P7,P8,O1,O2
14377.93843483191,5072.259017498376,-24298.20141770857,-32048.065310486,-35665.24811568834,-35570.99080932031,-22087.70329805652,-31787.779246303948
14420.04912138571,5041.346554916687,-24348.828118899837,-32095.518063964617,-35745.98261666091,-35626.937225691945,-22175.456246788057,-31856.533212248472
14317.208745146841,5087.1005758167,-24310.070194014337,-32020.438554339238,-35996.21039583807,-35567.727454629836,-22342.37907438029,-31905.483532605595
14261.351735753029,5123.042180900834,-24251.32980958579,-31963.262792022564,-35944.466107424036,-35503.466189320825,-22276.93316661515,-31839.43412774016
14360.906405556967,5083.300779259298,-24278.487179098986,-32025.646510797324,-35684.42591243099,-35543.16288747345,-22098.00745225042,-31780.358467144786
14425.927630177455,5034.573976346729,-24342.994313597002,-32088.007877827633,-35708.31992725372,-35611.29100457323,-22143.85088012825,-31837.60128469483
14336.833576778601,5068.280406985332,-24322.3413017203,-32032.86612425639,-35968.69539841359,-35575.46115821137,-22330.4208910967,-31908.992756485077
14253.908604849412,5109.608782483195,-24264.80791149234,-31970.08007408143,-35986.66620095565,-35522.152247685466,-22317.65804501272,-31869.385465310275
14336.900632011966,5086.497078716407,-24271.200510406557,-32013.978900191654,-35719.898130881564,-35541.441803150396,-22119.912161816617,-31784.426484635653
14428.81100521219,5041.234796194411,-24341.362636251764,-32097.864997132423,-35672.98181926987,-35623.62916751256,-22117.676987371087,-31822.089174042845
14362.314565457651,5069.554456419284,-24334.05361581488,-32054.234391955662,-35923.075487980306,-35587.66521068397,-22303.956425661618,-31895.13467492279
14265.911491621911,5121.969297166979,-24267.110141171237,-31966.324981012942,-36001.373648807246,-35513.59152955908,-22326.12935616128,-31868.245526343053
14322.50610858275,5105.026674869857,-24264.27146962541,-31995.114027871376,-35762.209983135464,-35527.315500654644,-22143.20267953905,-31792.808388806392
14426.598182511114,5047.180360219522,-24330.834964613317,-32087.31497374952,-35648.2160864134,-35603.91492890298,-22090.385507391158,-31810.645080881728
14387.214408780863,5058.579749891728,-24339.887421117714,-32061.498708903637,-35876.47210079099,-35603.40083878051,-22270.853492123308,-31883.891747461766
