Fp1,Fp2,C3,C4,P7,P8,O1,O2
13640.464978273509,7710.793043469554,-33268.87288914596,-42578.10623384789,-36954.6755498261,-46624.86721573678,-30993.17473091778,-48312.49097734583
13731.548336928885,7595.323931613438,-33430.878332958026,-42754.01446271115,-36910.12852312667,-46787.185583971215,-30982.736466257153,-48432.564548559734
13701.798165058872,7546.35125951186,-33491.98800229884,-42806.09402729202,-37091.13294972575,-46843.824904420966,-31157.39299743092,-48521.479788002944
13612.45824247101,7660.591025422934,-33328.28382590817,-42625.17900767076,-37149.068671353896,-46675.56097216141,-31184.863291366495,-48400.04276037726
13619.163765807602,7716.425683072292,-33266.525955978155,-42561.454184228685,-36993.12055028922,-46609.690381251625,-31027.395251678856,-48309.8534715001
13705.396795916176,7607.304466641483,-33417.06495488465,-42733.38380257891,-36903.266537578886,-46767.963083739654,-30975.874480709375,-48418.05826640824
13712.974037286525,7545.121913566818,-33504.30381349371,-42822.43315248885,-37059.3487691103,-46857.28065458306,-31136.11413670947,-48527.35829679469
13637.782768938872,7663.407345224303,-33353.25072446474,-42640.24408343364,-37154.030758622976,-46695.38696949327,-31194.206320548812,-48419.33231584219
13619.767262907895,7742.219596173716,-33245.31415049006,-42539.86239908486,-37016.14284707819,-46592.36777929876,-31046.841269354973,-48301.762140007275
13702.938104026092,7647.492903172124,-33371.19917526236,-42688.63561017938,-36889.45315950551,-46725.89710067477,-30957.143718855827,-48376.416966488
13723.166432758146,7550.173407813717,-33504.43792396044,-42812.553681439604,-37014.622928455225,-46851.67036672478,-31094.405781555866,-48505.54299420631
13647.729295221485,7630.527929130546,-33389.50525397125,-42682.57828743199,-37152.04145336646,-46730.702725732655,-31194.072210082082,-48443.472199853924
13599.673044642574,7715.24104061616,-33257.227630284746,-42552.82641086893,-37060.73457726653,-46602.001381158996,-31079.11718834844,-48310.41226511148
13683.08975494978,7660.792191123032,-33345.11468948301,-42649.251836449126,-36897.72330495397,-46688.63674266777,-30950.54995424151,-48337.81550381369
13734.834043363815,7557.7730009285215,-33493.39616219952,-42796.3039632206,-36979.01659953792,-46835.89003513933,-31052.473908957712,-48476.4410229255
13656.535882536875,7604.488146840114,-33428.6878620014,-42715.30124131456,-37151.8179359219,-46768.32071165094,-31198.095524084038,-48463.29819718578
13602.131736532658,7728.473273333701,-33264.73781642173,-42546.478515443625,-37084.472129878064,-46604.102445137796,-31107.123924150936,-48315.10613144709
13667.376478597698,7689.983569381663,-33312.8164187451,-42612.52792030906,-36904.49588352393,-46656.51728588549,-30954.193288587725,-48316.84956751461
13724.529889169919,7554.800218915966,-33488.2552609748,-42805.13290228044,-36960.107023728735,-46838.72870668516,-31037.34177796147,-48477.40214793708
13665.431876830087,7571.139344112796,-33458.81801352716,-42752.159267921365,-37147.77227017549,-46807.21274700317,-31198.229634550768,-48496.31172374627
13593.526314917364,7692.799889183032,-33284.65322073141,-42566.9974168536,-37126.001671076025,-46627.795294260424,-31146.083014736538,-48345.8621318176
13640.50968176242,7683.993301867641,-33295.42676155886,-42598.66983874677,-36943.23145666498,-46646.99544274753,-30984.815178491495,-48320.87288151657
13723.032322291414,7563.964434142642,-33465.63529558603,-42780.545983379605,-36936.41417460611,-46821.31669775447,-31008.17275144729,-48460.72774657342
13690.801106786861,7560.321099796427,-33471.44674914441,-42770.89002977491,-37113.57410115887,-46817.673363408256,-31167.384227202445,-48501.96671509346
13620.08018733027,7698.253714830126,-33291.73872372374,-42575.53578323553,-37127.320423998885,-46627.66118379369,-31144.294875180112,-48351.338309209146
13655.731219736484,7731.915441979819,-33239.72621437624,-42538.431887439714,-36932.770840259895,-46582.95769488307,-30964.631553248353,-48268.94977914689
13728.888479338704,7597.6261612923345,-33425.53626603321,-42732.75795373416,-36898.95265089902,-46768.45482211767,-30965.36916081538,-48402.032065633786
13702.021682503426,7542.5067594655475,-33489.35049645311,-42790.112530006474,-37084.405074644696,-46832.8054944045,-31144.07135773556,-48499.93270634803
13618.73908266295,7663.8990836023195,-33324.484029350766,-42606.64941151731,-37149.44865100964,-46663.647492366734,-31171.74281737123,-48383.10013808014
13618.493213473943,7715.106930149428,-33254.23249652774,-42546.61262591036,-36984.582183907296,-46594.96058165558,-31011.503161371133,-48287.83700321162
13703.027511003913,7599.436652593215,-33401.306975043655,-42716.48588377069,-36892.425941518064,-46749.74641200858,-30960.205907846204,-48387.7716526713
13716.460909421554,7538.7516663970555,-33490.19986274241,-42797.33214346554,-37040.30508283438,-46836.58293921744,-31110.29787186359,-48493.65186615609
13643.3707050527,7652.857321841398,-33342.47718363728,-42630.319908895486,-37138.74216541555,-46682.601771664835,-31171.496948182223,-48394.410120774526
13624.237611798957,7732.429532102291,-33226.65044386988,-42516.6836400847,-37001.2342335265,-46574.01699710095,-31028.71400460172,-48272.32489255964
13706.536734883397,7638.5969088789125,-33351.50728839723,-42664.428670934285,-36874.812766887284,-46706.38402776528,-30941.18457331474,-48344.58808238365
13727.659133393661,7537.432913474192,-33488.970516797366,-42799.92494582236,-37009.258509785956,-46846.57416898897,-31092.528235021622,-48490.50027018789
13654.725391235996,7631.1984814642055,-33370.77449211771,-42660.226542976685,-37143.79365966245,-46723.01372564003,-31190.51828271369,-48421.14280714307
13608.747852891429,7729.255584389638,-33239.05566204258,-42524.84202681089,-37047.52469629344,-46586.31045655137,-31072.29990628957,-48287.300561344695
13687.627159074207,7673.085650573451,-33326.20511367382,-42633.33739439695,-36887.128578082156,-46682.78058562048,-30953.723901954163,-48336.34028867964
13741.360752744766,7563.539750997991,-33469.748016565805,-42777.86377404496,-36960.08467198428,-46831.41968624827,-31053.05505431355,-48474.47406941344
13662.79437098436,7602.45413809468,-33408.97362339182,-42693.46358698173,-37133.757726402015,-46760.45289760267,-31189.043067579638,-48446.9367202445
13599.002492308915,7715.419854571803,-33248.622208669454,-42532.59808213688,-37074.01151347298,-46600.16853811366,-31101.31247059256,-48302.4997475743
13669.857522232238,7684.596798967934,-33292.74455222423,-42593.126606121856,-36893.409418274096,-46650.90699802721,-30951.01934087507,-48305.2490121423
13728.19557526059,7549.011117102042,-33475.35830442409,-42776.41091065537,-36940.035157207865,-46825.87645362335,-31027.439955167767,-48456.72678431592
13670.349260610255,7562.176294586217,-33442.16596390795,-42737.407116580864,-37120.749011129024,-46790.44893866169,-31185.287974511146,-48469.690796099996
13611.83239362626,7706.657970745322,-33256.646484928904,-42537.4931141726,-37091.87055729277,-46602.202546859095,-31128.514543594665,-48311.976887223354
13660.827417472294,7708.982552168674,-33264.53665072163,-42558.81667838296,-36907.40161030312,-46613.26666036447,-30965.525623026566,-48278.71749147386
13736.2422032645,7579.990634917097,-33441.83068774112,-42751.801640010075,-36899.57849974376,-46795.9474677977,-30993.398248362333,-48424.85319672265
13694.824420788816,7561.0587073634515,-33459.82384202765,-42758.1942389243,-37085.14268221172,-46813.806511617484,-31160.276372465658,-48481.581924150225
13619.990780352447,7694.275104317082,-33284.78733119814,-42563.130565062835,-37107.8073510894,-46625.73893377053,-31146.910029281382,-48331.17703571046
13647.595184754753,7728.585032055978,-33242.16255452187,-42532.709840859156,-36929.060450680314,-46591.02667463144,-30980.85891972291,-48260.97020637634
13718.785490844904,7589.9371611997085,-33420.529475275216,-42728.62288100993,-36885.87688039266,-46778.870735033845,-30977.349695843423,-48403.39552204556
13702.80399355936,7542.886739121287,-33488.09879876361,-42782.13295723593,-37064.04263544591,-46838.23696830714,-31151.89446829492,-48494.38947372312
13620.840146641749,7663.496752202124,-33330.1166689535,-42598.222803857665,-37140.23973229405,-46667.58139939087,-31187.858425123504,-48375.54524845425
13633.55828923682,7738.129226938395,-33233.49007767321,-42514.26965168353,-36964.13033773069,-46576.98977911351,-31007.94923400274,-48258.287997041705
13718.919601311638,7628.717437829667,-33384.721980657814,-42680.79014787557,-36869.76127264038,-46733.854321700856,-30948.22537281816,-48362.313015736705
13715.320970454333,7539.332811752894,-33491.0045255428,-42787.51972764966,-37027.81045768386,-46838.706354940696,-31110.96842419725,-48484.88998232961
13628.59620196774,7634.6630018547785,-33362.5266984137,-42637.226597932175,-37151.77323243299,-46703.81357715292,-31196.03916359415,-48403.7755017013
13623.879983887671,7737.190453671272,-33231.05373752758,-42507.340610902385,-37005.14578880618,-46575.000473856984,-31042.28151348609,-48260.590226720604
13710.04595876288,7651.6279758963565,-33355.53060239919,-42646.50257188113,-36873.31520000878,-46699.522042217504,-30944.44792800521,-48326.39376239703
13736.62218292024,7545.524244967013,-33491.831540087645,-42795.34283820901,-36998.552024191864,-46845.925968399766,-31086.04622912958,-48478.139755504104
13650.27739408939,7614.8817080118315,-33394.04265809568,-42675.38102571738,-37149.80627892092,-46742.95148169417,-31200.688326440853,-48430.70935376995
13616.302742517322,7732.764808269121,-33235.72525211874,-42511.8333115379,-37038.472239789044,-46582.980046627534,-31074.110397590448,-48274.87299142755
