Fp1,Fp2,C3,C4,P7,P8,O1,O2
14389.740155904312,5034.909252513558,-25203.51412338187,-32730.508772195433,-36981.20707049454,-36271.31566659399,-24023.543181841753,-33051.59158129592
14402.637112455024,5032.294098412287,-25234.672455152566,-32739.85180137775,-37111.22716799106,-36288.16888191329,-24132.91026746157,-33115.40581171582
14264.838607888058,5054.109401000667,-25203.961158270977,-32681.871376260686,-37295.38319055834,-36246.01349187058,-24237.2705623234,-33152.75557670064
14233.747331350725,5064.3688517056535,-25165.158529896562,-32664.816995241286,-37192.56516606393,-36226.58982593892,-24143.616753055663,-33099.714887108195
14371.188208006408,5045.258110196365,-25192.8970447656,-32715.756620854932,-36992.114721788734,-36260.83269844445,-24027.968827243905,-33052.955037707696
14421.591391753125,5037.8373310372035,-25231.74437662892,-32740.231781033493,-37070.502289593496,-36285.30785862301,-24108.077479371725,-33101.458323175706
14290.409003544928,5052.85770331117,-25207.358623428183,-32688.688658319556,-37276.98770487162,-36249.969750639175,-24231.481460509476,-33151.861506922425
14220.649209099915,5060.837276081715,-25172.959288711463,-32661.330123106258,-37228.70793684816,-36221.515979947566,-24172.942241781027,-33114.15411402632
14341.639201836491,5038.6643455820495,-25188.113771452165,-32708.335841695767,-37011.94071912059,-36246.12525059286,-24038.205926204435,-33052.70916851868
14420.13852836353,5021.118226184634,-25233.37605397416,-32744.85859213574,-37045.98242592602,-36289.64409704734,-24096.3875170216,-33094.12695099437
14310.16794564342,5039.111380471156,-25222.200181746506,-32704.647803860644,-37264.31426576546,-36270.242782860136,-24239.349274557742,-33158.25410583665
14210.032130483643,5048.9908515204015,-25182.503483593882,-32665.75576850841,-37266.12475706634,-36227.41684048377,-24213.175381800578,-33133.71189042472
14308.491564809272,5039.401953149075,-25184.64925106159,-32701.116228236704,-37049.67046376115,-36239.79970691201,-24074.125179544113,-33067.84129951493
14418.506851018294,5021.766426773837,-25218.55684740029,-32746.937304370083,-37008.09621907428,-36285.620783045386,-24073.029944065805,-33079.710075820694
14330.664495308936,5030.371848389131,-25217.61807413317,-32716.71774586651,-37219.07433498792,-36276.27775386307,-24210.26965502139,-33148.88872490987
14217.318799176073,5051.717764343949,-25174.74742826789,-32668.32621912077,-37284.25202181959,-36236.87162838836,-24226.22880056248,-33146.698253953255
14289.49258202226,5052.567130633251,-25169.40536134307,-32684.218309428492,-37078.79478678641,-36243.01835811357,-24078.684935412995,-33075.48559611864
14419.020941140765,5027.466121609941,-25206.978643772443,-32731.447545462557,-36989.253698498454,-36281.910393465805,-24047.548955386756,-33069.42827337125
14367.991908549298,5039.04432523779,-25205.928111783043,-32710.10162950774,-37175.33197108888,-36272.94734393923,-24183.671079119573,-33132.19197180176
