Fp1,Fp2,C3,C4,P7,P8,O1,O2
14375.189170263908,5024.47098785293,-27091.565977521655,-34061.19752659769,-38320.70241221219,-37700.106227410586,-26884.65587909888,-36126.655176479246
14281.781230185179,5091.0791863297445,-27016.799392318655,-33962.5145748275,-38495.157777685854,-37612.04035425668,-26928.152373808905,-36098.44727497664
14283.63642497497,5121.097579133222,-26969.033714417663,-33928.02583313297,-38346.07164216896,-37571.449586325834,-26817.600645732957,-36027.0558031864
14365.689678870402,5056.389278935108,-27045.029645565708,-34027.759316892545,-38155.254799754,-37658.64374144599,-26764.67171486279,-36047.61940808528
14382.788763378712,5028.382543132609,-27100.88665495952,-34069.98176216862,-38285.00667631706,-37708.44342809241,-26872.518881859647,-36124.15178110025
14299.819087960612,5097.494136988418,-27038.72645362931,-33977.222022679096,-38499.7398852992,-37631.28520623269,-26946.056121117606,-36117.60271997484
14277.020308616198,5142.77877125487,-26971.67122026339,-33917.319347538876,-38398.978221294674,-37569.68379851387,-26850.524765315626,-36040.48920160403
14352.368039175039,5084.775994393349,-27037.050072795162,-34006.12282825981,-38186.83781466935,-37646.28322676221,-26776.071104534996,-36045.630102828756
14398.144411819509,5050.6895840990055,-27100.707841003878,-34061.64456148679,-38250.29441717797,-37703.1460646565,-26852.558774061057,-36112.75239142805
14335.134844199998,5106.233669070443,-27041.855697853054,-33977.13261570127,-38469.18505062879,-37634.41445045644,-26935.28258029015,-36112.797094916954
14289.760802955725,5160.324890652286,-26961.56823176959,-33899.01326882998,-38425.263872774114,-37560.139603631455,-26857.9902479637,-36039.259855658995
14351.7868938192,5110.145224350122,-27006.294072424662,-33970.650609809236,-38198.37131480829,-37618.14238049297,-26760.20136597173,-36026.407602597195
14416.070510872665,5058.043308024801,-27081.26182332776,-34052.79327068249,-38205.389762567254,-37694.31712559666,-26816.30424455455,-36090.266536506
14347.338896672594,5088.352273506198,-27061.74875041828,-34007.486284671584,-38446.69919570675,-37659.31429377965,-26928.398242997915,-36123.3247665554
14279.814276673113,5148.7243352799815,-26980.589566301056,-33920.98503362954,-38470.347341340464,-37575.29408637215,-26883.627698853936,-36063.08681524835
14337.92881225691,5125.925555935569,-26987.205682659827,-33957.41837709169,-38232.61418731382,-37599.36691515052,-26764.20232822923,-36026.36289910828
14412.717749204368,5060.949034803991,-27070.577689478123,-34052.994436382585,-38172.01860809548,-37692.10430289558,-26781.994316815653,-36087.494920193545
14370.003565550276,5079.880962357636,-27063.715703930346,-34019.55622667745,-38393.680857858766,-37669.88666890701,-26891.51786464666,-36127.95157765765
14297.941541426366,5157.799143528837,-26964.451606804327,-33912.401963758704,-38464.71470173773,-37566.8674787125,-26863.913460244356,-36055.64368434473
14333.749036043768,5149.998384713935,-26957.29904857863,-33927.98112964405,-38244.66177757523,-37570.622571780994,-26739.034263972553,-35998.33381156133
14412.538935248725,5072.080203542734,-27049.723511901324,-34036.61060769685,-38141.284959469434,-37670.534869496216,-26743.191688441242,-36056.3589401673
14385.269807013252,5068.839200596714,-27069.72832318882,-34038.06347108644,-38345.93753170223,-37679.07323587814,-26864.85223351148,-36121.402516532245
14304.222381618309,5142.376439854675,-26980.075476178587,-33931.37859480126,-38473.789509986585,-37581.530223075184,-26875.201091194285,-36083.449254447136
14312.02314043321,5141.996460198934,-26955.890888677943,-33925.343623798326,-38288.180624029716,-37566.37574033448,-26754.322857179985,-36024.015965940474
14391.081260571631,5068.101593029689,-27044.001465320765,-34035.15774430725,-38133.327738443346,-37659.85073564658,-26722.650435286814,-36061.79041406994
14384.867475613055,5048.9908515204015,-27089.375506565037,-34064.37147431034,-38310.06298185146,-37692.73015174033,-26846.724968758223,-36140.44620280817
14298.008596659733,5111.1510528506105,-27016.128839984995,-33972.23758366556,-38493.45904510725,-37610.34162167807,-26898.75982985018,-36127.59394974637
14294.857000691534,5139.671878775583,-26962.61876375899,-33935.33485356985,-38346.339863102425,-37567.00158917923,-26789.39274423036,-36059.264666946496
14376.507923186771,5073.756584376882,-27036.49127918378,-34035.60477919636,-38154.785413120444,-37652.40760474296,-26734.698025548223,-36076.721379366085
14395.261036784774,5037.8373310372035,-27100.35021309259,-34090.813588000965,-38282.34681872688,-37708.10815192558,-26840.533535544102,-36156.293589626985
14325.12126268402,5111.463977272985,-27026.79062209018,-33991.34832517485,-38484.80892000305,-37621.13751424998,-26901.46439092927,-36143.77661273201
14291.571294256604,5153.395849871141,-26964.04927540413,-33936.027757647964,-38390.104578745915,-37560.765452476204,-26806.938863627776,-36073.10039676433
14371.32231847314,5098.857593400192,-27019.01221501973,-34023.557188934945,-38175.39372150823,-37632.80512485566,-26728.595999311925,-36073.458024675616
14420.652618486003,5062.625415638139,-27081.574747750135,-34084.08571291992,-38234.11175419232,-37690.6961429949,-26803.58610195948,-36135.14883937226
14338.129977957009,5103.372645780164,-27043.532078687203,-34023.26661625703,-38469.38621632889,-37640.89645634848,-26903.677213630344,-36158.372301861324
14292.554771012638,5165.130515710177,-26957.634324745457,-33939.71579548309,-38426.381459996875,-37558.26205709721,-26822.853305679957,-36082.75635036902
14365.779085848224,5130.909994949102,-26988.54678732715,-33999.797284578955,-38187.88834665875,-37604.55251986415,-26717.353071850906,-36056.47069888958
14419.691493474424,5065.531142417329,-27073.55047149068,-34089.763056011565,-38193.7668554505,-37687.76806447125,-26777.59102315796,-36129.158571858236
14354.334992687107,5090.565096207273,-27052.539831702692,-34041.84091589939,-38429.17542805379,-37648.45134597437,-26889.305041945583,-36159.02050245053
14286.676262220892,5154.714602794004,-26964.205737615317,-33945.8625252083,-38452.42124228731,-37557.904429185925,-26845.920305957832,-36092.30054525143
14336.297134911674,5128.697172248027,-26981.997726201742,-33987.74969431754,-38225.104001176835,-37586.60406906653,-26731.881705746855,-36057.498879134524
14407.08510960163,5054.422325423041,-27070.242413311295,-34090.34420136741,-38166.4083202372,-37679.76613995626,-26763.554127640025,-36122.6765659662
14361.286385212707,5068.950959318991,-27072.07525635663,-34067.07603538943,-38396.20660498221,-37666.24333456079,-26888.61213786747,-36170.01756072254
14282.54118949666,5143.918710222091,-26985.90928148142,-33962.469871338595,-38479.80212924506,-37569.080301413574,-26874.93287026082,-36105.8233506469
14309.631503776493,5134.374515339675,-26982.33300236857,-33984.53104311598,-38269.33810345389,-37584.815929510114,-26763.576479384483,-36070.03820777395
14392.355310005583,5057.886845813614,-27069.281288299717,-34089.02544844454,-38153.801936364405,-37681.62133474604,-26761.788339828057,-36123.95061540015
14372.283443484717,5056.0316510238235,-27090.761314721265,-34086.45499783218,-38353.78299400604,-37682.44834929089,-26879.60438485198,-36169.39171187779
14283.010576130222,5124.293878590332,-27012.507857383236,-33985.469816383105,-38495.738923041696,-37589.979182479285,-26901.12911476244,-36122.20717933264
14290.87839017849,5125.612631513194,-26982.712982024314,-33977.4678918681,-38318.10960985537,-37577.84218524006,-26792.790209387567,-36069.92644905167
14376.776144120235,5054.444677167497,-27067.224927809828,-34084.59980304239,-38155.67948289865,-37673.73116895332,-26760.38017992737,-36108.03617334797
14368.930681816422,5029.768351288838,-27114.252998143795,-34115.55696911299,-38327.58674950442,-37710.432733348935,-26885.058210499075,-36180.29936317198
14295.482849536284,5113.319172062776,-27018.878104552998,-33994.745790332054,-38495.247184663676,-37604.44076114187,-26915.7024521473,-36140.5803132749
14293.046509390655,5151.317137636797,-26958.304877079117,-33945.39313857474,-38343.5011915566,-37554.79753670663,-26795.517122211117,-36063.42209141518
14373.535141174216,5081.534991447329,-27032.177392503905,-34045.2830845455,-38145.062404282384,-37640.49412494828,-26731.367615624386,-36077.99542880004
14389.002548337288,5037.144426959089,-27100.484323559325,-34102.99528872911,-38264.823051073916,-37701.4473320779,-26837.136070386896,-36152.76201400304
14302.54600078416,5092.353235763698,-27041.229849008305,-34016.31522373143,-38479.89153622288,-37629.45236318736,-26915.836562614033,-36150.34802560187
14269.376012012484,5135.045067673334,-26974.979278442777,-33957.373673602786,-38397.2124334827,-37570.60022003653,-26831.6822447398,-36081.99639105754
14350.35638217406,5082.831392625737,-27030.836287836588,-34042.06443334394,-38180.735788433056,-37643.601017427565,-26756.9156595368,-36087.226699260085
14393.092917572609,5032.115284456645,-27105.111134661573,-34114.77465805705,-38240.973739740104,-37716.579463074144,-26838.208954120753,-36166.843613009885
14311.73256775529,5071.789630864815,-27060.765273662244,-34040.410404254246,-38467.59807677246,-37652.765232654245,-26927.52652496416,-36171.87275551233
14258.848340374034,5130.105332148711,-26969.63721151796,-33949.8634874658,-38431.835285643974,-37564.09586240004,-26851.39648334938,-36086.26557424851
14336.811225034146,5101.360988779186,-26998.38155488748,-34004.96053754813,-38192.49280601654,-37608.5758338661,-26746.276229176074,-36063.53385013746
14396.378624007539,5041.681831083516,-27085.419247796446,-34097.56381482647,-38191.39757053823,-37699.79330298821,-26805.195427560262,-36139.77565047451
14337.41472213444,5074.7624128773705,-27061.16760506244,-34043.36083452235,-38426.53792220807,-37661.34830252508,-26912.975539323754,-36170.755168289565
14266.179712555375,5142.219977643487,-26971.49240630775,-33947.53890604245,-38453.53882951008,-37567.02394092369,-26867.959125990765,-36097.10617030933
14314.124204412008,5118.214204098488,-26985.68576403687,-33990.76717981901,-38228.45676284513,-37600.752723306745,-26760.76015958311,-36064.629085615765
14394.836353640123,5049.303775942776,-27072.656401712466,-34087.9972681996,-38165.98363709255,-37695.36765758606,-26787.24697676265,-36130.45497303665
14353.038591508699,5060.569055148251,-27071.471759256336,-34063.92443942123,-38389.72459909017,-37679.78849170071,-26902.783143852135,-36172.31979040144
14269.39836375694,5124.606803012705,-26985.261080892218,-33961.30758062692,-38480.785606001096,-37580.703208530336,-26892.546044891602,-36115.166379829214
14303.574181029104,5120.091750632733,-26969.10076965103,-33968.30367664143,-38260.62092311632,-37576.970467206294,-26767.53273815307,-36056.537754122946
14382.498190700793,5041.681831083516,-27069.460102255358,-34081.76113149657,-38149.28688398444,-37681.50957602377,-26764.53760439606,-36107.1197518253
14362.135751502008,5038.709049070961,-27091.565977521655,-34083.5939745419,-38350.78786024903,-37693.71362849636,-26888.567434378558,-36168.72115954413
14282.742355196759,5114.660276730094,-26992.61480481801,-33968.66130455271,-38486.99939095967,-37592.81785402511,-26905.33124272004,-36123.704746211144
14283.725831952792,5119.264736087887,-26964.071627148587,-33955.92081021319,-38308.27484229503,-37572.231897381775,-26788.744543641158,-36057.498879134524
14371.232911495319,5049.683755598517,-27046.661322910946,-34060.01288414155,-38143.43072693714,-37665.21515431585,-26756.133348480864,-36093.015801074005
14373.937472574411,5026.549700087274,-27088.012050153262,-34089.15955891128,-38299.64706893529,-37700.150930899494,-26867.22151842374,-36161.36743561833
14291.30307332314,5103.015017868879,-27003.38834564547,-33978.94310700215,-38486.90998398185,-37603.43493264138,-26917.401184725906,-36132.42192654871
14280.104849351032,5136.721448507482,-26949.185365341353,-33935.58072275886,-38348.999720692605,-37556.63037975197,-26809.844590406967,-36053.34145466584
14359.855873567567,5066.849895340192,-27023.571970888614,-34031.112078560844,-38148.3034072284,-37645.32210175063,-26749.941915266743,-36069.63587637376
14388.80138263719,5033.545796101785,-27081.8429686836,-34082.25286987458,-38255.301207935954,-37700.307393110685,-26846.25558212466,-36143.57544703191
14309.206820631842,5097.963523621979,-27017.089964996572,-33992.57767111989,-38471.129652396405,-37624.132648007,-26919.412841726884,-36141.34027258638
14274.740430681757,5145.237463144954,-26945.00558912821,-33927.91407441069,-38387.64588685583,-37557.65855999691,-26832.442204051284,-36066.79720482793
14353.038591508699,5093.023788097356,-26994.33588914107,-34005.742848604066,-38156.79707012142,-37618.90233980445,-26745.672732075782,-36053.453213388115
14397.116231574564,5040.519540371841,-27074.422189524437,-34083.66102977527,-38211.51414054801,-37696.35113434209,-26829.82704995001,-36133.87478993831
14323.35547487205,5089.536915962329,-27034.121994271518,-34012.06839228492,-38448.86731491891,-37639.82357261462,-26930.23108604325,-36152.18086864721
14261.262328775209,5142.0858671767555,-26956.449682289327,-33935.983054159056,-38433.288149033564,-37565.97340893429,-26873.189434193308,-36086.75731262652
14327.088216196087,5102.299762046309,-26989.843188505554,-33997.4727031556,-38196.33730606286,-37615.39311592497,-26770.01378178761,-36068.25006821752
14388.622568681547,5035.75861880286,-27080.747733205288,-34094.27810839154,-38193.431579283664,-37707.16937865846,-26825.35670105895,-36142.45785980915
14334.508995355249,5074.695357644005,-27057.233698038304,-34040.07512808742,-38430.583587954476,-37665.99746537179,-26934.56732446758,-36170.86692701184
14261.239977030753,5141.750591009926,-26966.664429505403,-33941.23571410605,-38461.78662321408,-37573.95298170483,-26885.70641108828,-36099.318993010405
14309.765614243224,5115.353180808209,-26975.7168860098,-33977.6690575682,-38228.45676284513,-37599.076342472596,-26766.52690965258,-36057.58828611235
14388.935493103922,5045.146351474089,-27062.4863579853,-34075.03325641552,-38161.490936457034,-37689.35503832758,-26789.59390993046,-36107.365621014316
14352.189225219397,5059.76439234786,-27058.507747472257,-34048.41232876925,-38379.465148385185,-37673.70881720887,-26903.364289207973,-36150.34802560187
14270.761820168713,5128.853634459214,-26972.09590340804,-33944.78964147445,-38479.95859145625,-37578.736255018266,-26896.79287633811,-36097.217929031605
14302.769518228713,5126.2384803579425,-26956.539089267146,-33947.53890604245,-38271.0815395214,-37571.49428981475,-26775.467607434704,-36037.62817831375
14387.214408780863,5052.880055055625,-27043.375616476016,-34054.380244538814,-38147.722261872565,-37668.09852935059,-26771.354886454927,-36085.70678063712
14370.629414395025,5051.002508521379,-27067.426093509926,-34059.74466320809,-38339.477877554644,-37683.70004698039,-26885.773466321643,-36147.15172614476
14283.34585229705,5131.8711199606805,-26982.489464579758,-33948.18710663165,-38484.94303046978,-37584.10067368754,-26904.370117708462,-36102.35883025632
14287.771497699201,5145.7292015229705,-26946.123176350975,-33930.7080424676,-38305.45852249367,-37557.479746041274,-26783.96127032772,-36028.44161134263
14374.138638274508,5071.029671553334,-27030.45630818085,-34040.29864553197,-38138.62510187925,-37653.99457859929,-26751.126557722877,-36063.84677455983
14377.401992964984,5046.263938696854,-27078.423151781935,-34077.22372737214,-38300.38467650231,-37697.49107330931,-26871.691867314803,-36144.87184821032
14293.135916368476,5117.074265131267,-27002.874255523,-33975.23271742257,-38491.71560903974,-37606.94415652086,-26923.32439700656,-36122.92243515521
14281.82593367409,5154.558140582817,-26944.15622283891,-33925.969472643075,-38356.465203340675,-37555.82571695158,-26818.584122488992,-36050.14515520873
14364.102705014075,5083.323131003754,-27016.218246962817,-34028.49692445957,-38151.54441017442,-37645.45621221736,-26755.149871724832,-36064.629085615765
14390.522466960248,5040.340726416198,-27086.045096641195,-34090.36655311186,-38260.79973707196,-37706.92350946945,-26849.60834379296,-36143.39663307627
14311.73256775529,5098.254096299898,-27021.560313887636,-34002.166569491215,-38476.449367576766,-37628.088906775585,-26920.642187671925,-36134.254769594045
14277.221474316297,5146.310346878809,-26946.52550775117,-33931.71387096809,-38398.88881431685,-37557.05506289662,-26837.605457020458,-36059.35407392431
