Fp1,Fp2,C3,C4,P7,P8,O1,O2
14366.9413765599,5134.240404872943,-28103.340042035587,-34972.7016654851,-38348.97736894815,-38822.38731651155,-29132.95079862485,-38379.55455536301
14245.52670067867,5193.785452101881,-28022.69494804084,-34865.56975431082,-38431.1200298214,-38720.53041702872,-29110.80021986964,-38309.10185683988
14300.713157738825,5181.536696140372,-28015.1624101594,-34886.06630397634,-38200.62884099827,-38729.69463225539,-28987.038610820608,-38260.95619928315
14417.858650429089,5115.263773830387,-28098.1320855775,-35000.77545652097,-38092.40169434568,-38837.07241261869,-28990.994869589194,-38328.25730183808
14382.073507556142,5123.82449195677,-28119.03096664321,-34986.11271215829,-38304.318583526445,-38835.843066673646,-29104.832304100073,-38374.50306111611
14259.138913051953,5188.152812499144,-28025.44421260884,-34870.5318415799,-38432.952872866736,-38724.978414175326,-29100.652527886934,-38294.05913282146
14285.156343597931,5203.977847573501,-27987.781523201647,-34859.110100163234,-38231.78717276897,-38705.2865273102,-28976.30977348206,-38224.545207565454
14401.832449654634,5126.2384803579425,-28080.697724902362,-34978.02138066547,-38077.22485986052,-38810.675002416974,-28952.616924359434,-38268.3322749534
14392.46706872786,5106.256020814899,-28121.42260329993,-34999.4120001092,-38258.49750739307,-38843.08503187717,-29069.158919949405,-38344.082336912434
14272.415849258407,5176.731071082481,-28033.088509212557,-34891.207205201055,-38436.70796593523,-38749.25240865379,-29106.48633318977,-38314.75684818708
14263.810427643113,5204.335475484786,-27976.225671318254,-34853.34335009377,-38277.608248902354,-38705.77826568821,-28992.090105067506,-38245.22057118661
14387.192057036407,5138.464884574996,-28058.055407769134,-34960.49761301251,-38070.31817082383,-38796.30283073221,-28937.708310807742,-38270.969780799125
14407.152164834997,5099.326980033753,-28137.739376752303,-35018.12041021829,-38221.840646486366,-38861.860497219626,-29059.74883553372,-38358.230991152646
14291.481887278784,5161.084849963767,-28047.75125357524,-34918.52103692544,-38435.85859964593,-38775.225135710854,-29124.34537700956,-38345.4010898353
14254.534453694161,5207.7105888975375,-27975.800988173603,-34841.51927727691,-38322.289386068514,-38703.632498220504,-29017.25816932418,-38261.246771961065
14383.414612223462,5170.271416934898,-28025.01952946419,-34914.18479850111,-38077.895412194186,-38760.92001925946,-28920.184543154784,-38249.62386484431
14442.04323792973,5121.097579133222,-28095.494579731774,-34995.388686107246,-38148.37046246177,-38838.48057251937,-29004.763544173664,-38330.40306930579
14325.992980717778,5161.218960430499,-28054.88146005648,-34918.63279564772,-38397.16772999379,-38779.62842936855,-29105.122876777994,-38343.121211900856
14240.810482598601,5200.714492883026,-27990.709601725295,-34848.13539363568,-38366.90346800131,-38701.50908249725,-29038.067643412072,-38267.01352203054
14345.863681538545,5170.9643210130125,-28017.93402647186,-34907.76984784244,-38121.9507005156,-38753.32042614465,-28934.86963926192,-38246.71813806512
14435.494176804326,5120.628192499661,-28102.915358890936,-34996.08159018536,-38127.98567151853,-38846.21427610091,-28997.78979990361,-38328.45846753818
14356.369001432538,5158.693213307049,-28063.75510260524,-34929.24987426399,-38369.54097384703,-38792.212461496885,-29098.149132507937,-38342.80828747848
14253.729790893769,5210.79512963237,-27988.988517402235,-34833.98673939547,-38398.12885500537,-38698.7821696737,-29054.362065119993,-38266.16415574124
14327.825823763113,5186.878763065191,-28014.380099103466,-34877.03619921639,-38158.65226491121,-38733.58383579062,-28946.939581267787,-38243.90181826375
14440.992705940333,5125.098541390722,-28093.54997796416,-34976.34499983132,-38105.87979625223,-38824.28721479025,-28980.623660161935,-38308.07367659493
14385.672138413447,5145.595091056239,-28074.50629168824,-34936.022452833946,-38332.213560606666,-38787.96563005038,-29089.364896937,-38329.21842684966
14263.899834620934,5201.74267312797,-27996.25283435021,-34840.49109703196,-38426.82849488598,-38700.212681318844,-29081.00534451072,-38270.74626335457
14297.919189681912,5189.0468822773555,-28001.460790808298,-34856.00320768395,-38213.369335337804,-38710.67329772393,-28969.134863511907,-38228.00972795603
