Fp1,Fp2,C3,C4,P7,P8,O1,O2
14244.29735473363,5030.573014089228,-24826.037863020643,-32366.60002071858,-36391.47864478572,-35952.62449415022,-22657.695133411307,-32506.097257864152
14351.853949052567,4976.191219829467,-24878.40800027943,-32455.80583283971,-36173.66089506875,-36023.12189616226,-22507.02202403808,-32492.66385944651
14366.717859115346,4946.731620637372,-24932.298056161173,-32492.4179902575,-36308.37485890089,-36076.296696221434,-22631.52124065414,-32568.190403960994
14263.63161368747,4999.057054407246,-24887.706325972835,-32413.248111396806,-36548.38789086198,-36010.02377391145,-22803.629672960007,-32600.287508998816
14230.640438871436,5028.784874532804,-24836.49847942573,-32374.087855111105,-36451.649540859406,-35952.87036333923,-22708.388889835944,-32533.701662266456
14327.244678407274,4981.041548376268,-24879.39147703546,-32453.61536188309,-36206.18268325122,-36018.38332633774,-22532.413605739308,-32505.76198169732
14369.891806828,4943.69178339145,-24939.182393453408,-32498.698830449444,-36274.17668988427,-36071.87105081929,-22610.24237993269,-32573.107787741163
14278.16024758342,4989.334045569187,-24903.151381391453,-32427.84380052612,-36527.578416774086,-36023.12189616226,-22799.360489769042,-32609.83170388123
14223.487880645738,5040.519540371841,-24837.794880604135,-32361.235602049306,-36493.06732333509,-35951.05987203835,-22747.705608332828,-32541.480069336903
14313.900686967456,5006.477833566408,-24860.616011693004,-32417.830219010142,-36231.32839576345,-35992.9470411476,-22545.399969267844,-32490.406333256524
14382.632301167525,4956.901664364536,-24925.570181080126,-32490.76396116781,-36230.07669807395,-36064.31616119339,-22564.08602763248,-32548.140889184582
14310.88320146599,4994.251429349355,-24903.88898895848,-32440.874867543564,-36484.931288353364,-36030.56502706588,-22757.36156193752,-32600.421619465546
14236.340133707541,5048.476761397929,-24833.14571775743,-32360.11801482654,-36517.20720734682,-35954.8373168513,-22761.69780036185,-32546.643322306078
14296.466326292317,5018.123092427622,-24846.35559873052,-32405.51440781527,-36269.14754738183,-35986.040352110904,-22571.953841680748,-32492.753266424334
14373.378678963029,4956.588739942163,-24925.100794446564,-32504.37617354109,-36205.288613473014,-36073.726245609076,-22542.31542853301,-32540.362482114135
14320.986189959787,4980.862734420626,-24921.300997889164,-32459.605629397112,-36451.13545073694,-36047.75351855201,-22738.20611693932,-32606.25542476838
14231.15452899391,5040.966575260946,-24847.093206297544,-32363.515479983747,-36545.057480938136,-35949.562305159845,-22783.490751205773,-32558.422691634023
14279.858980162024,5034.5516246022735,-24833.81627009109,-32378.424093535436,-36310.56532985751,-35958.301837241874,-22594.104420435957,-32483.589051197658
14373.244568496297,4967.451687747442,-24912.44970708486,-32474.55894643771,-36187.56368011996,-36043.730204550055,-22524.45638471322,-32508.53359800978
14340.476911124815,4966.199990057944,-24934.957913751354,-32468.76984462379,-36409.918833961354,-36044.46781211708,-22708.902979958413,-32586.518834414346
14238.888232575446,5025.7450372868825,-24867.813273407613,-32375.719532456344,-36564.481146869795,-35971.82464263733,-22810.022271874222,-32576.862880809655
14258.893043862945,5029.298964655276,-24837.638418392948,-32369.192823075395,-36367.53992647409,-35955.73138662951,-22643.188851259813,-32503.616214229613
14366.874321326533,4974.336025039676,-24892.98133766429,-32456.342274706636,-36179.137072460304,-36036.264721901985,-22514.152230519325,-32502.610385729124
14361.018164279243,4961.88610337807,-24925.41371886894,-32472.681399903468,-36354.15123154536,-36053.67673083267,-22665.741761415215,-32578.807482577264
14258.244843273742,5021.90053724057,-24865.578098962083,-32387.253032595283,-36557.23918166628,-35986.71090444457,-22803.830838660102,-32585.513005913857
14246.890157090445,5037.300889170277,-24827.20015373232,-32364.92363988443,-36409.94118570581,-35954.21146800655,-22673.67663069685,-32512.981595156387
14347.540062372693,4979.074594864202,-24880.48671251377,-32443.065338500186,-36187.45192139768,-36014.18119838014,-22514.666320641794,-32496.687173448467
14366.98608004881,4948.385649727064,-24933.572105595125,-32491.903900135032,-36309.80537054603,-36065.72432109408,-22629.57663888653,-32575.00768601986
14271.119448079999,5005.919039955025,-24880.576119491594,-32420.22185566686,-36543.582265804085,-36007.498026788,-22797.304129279153,-32605.048430567796
14233.546165650627,5038.887863026603,-24823.802688575113,-32367.136462585506,-36449.9508082808,-35955.06083429585,-22700.655186254407,-32532.91935121052
14325.054207450654,4985.690711222972,-24865.041657095153,-32432.962350006386,-36204.238081483614,-36004.74876222,-22517.75086137663,-32496.128379837082
14380.017147066254,4954.7782486412825,-24918.439974598885,-32489.19933905594,-36255.80355594201,-36058.32589367937,-22576.915928949828,-32557.506270111357
14293.895875679957,4999.727606740905,-24885.985241649778,-32425.452163869402,-36506.053686863626,-36016.259910614484,-22756.959230537326,-32595.01249730736
14229.902831304411,5037.524406614829,-24828.407147932907,-32373.126730099528,-36488.75343665522,-35956.133718029705,-22717.9107329739,-32540.608351303144
14312.291361366673,4999.817013718726,-24854.53633720116,-32424.8039632802,-36235.32935802095,-35986.93442188912,-22525.216344024702,-32494.00496411383
14380.911216844466,4953.50419920733,-24924.340835135084,-32502.9233101515,-36227.01450908357,-36067.33364669486,-22546.51755649061,-32554.91346775454
14310.50322181025,4988.439975790975,-24909.25340762775,-32455.962295050897,-36483.2102040303,-36030.386213110236,-22743.302314675133,-32614.25734928338
14234.283773217652,5046.845084052692,-24834.106842769008,-32371.98679113231,-36520.55996901512,-35952.155107516664,-22744.03992224216,-32567.5869068607
14297.718023981814,5025.655630309061,-24838.688950382348,-32411.23645439583,-36271.293314849536,-35973.053988582375,-22547.255164057635,-32504.040897374263
14383.816943623657,4970.8044494157375,-24913.388480351983,-32504.71144970792,-36198.13605524731,-36057.364768667794,-22519.382538721864,-32546.24099090588
14330.485681353293,4981.019196631813,-24917.769422265224,-32479.342219751146,-36435.89156101842,-36043.35022489431,-22712.523962560175,-32616.850151640196
14245.951383823322,5042.754714817371,-24843.159299273408,-32390.22581460784,-36538.03903317917,-35960.469956454035,-22765.117617263513,-32586.40707569207
14279.769573184201,5025.029781464313,-24838.979523060265,-32415.99737596481,-36324.24459746416,-35973.970410105045,-22592.204522157255,-32526.504400551847
14380.642995911003,4970.022138359802,-24903.68782325838,-32509.04768813225,-36185.73083707462,-36061.09750999183,-22512.49820142963,-32550.95720898595
14351.518672885737,4970.580931971184,-24928.92294274842,-32510.008813143828,-36396.19486286579,-36063.35503618181,-22686.148904102913,-32626.439050011522
14248.991221069244,5033.523444357329,-24859.16314830341,-32417.56199807668,-36555.696911298866,-35980.519471230444,-22787.22349252981,-32612.6480236826
14263.519854965194,5040.8324647942145,-24829.0106450332,-32410.521198573257,-36363.15898456085,-35961.96752333254,-22627.609685374464,-32536.786203001288
14357.84421656659,4970.8044494157375,-24902.83845696908,-32514.322699823704,-36181.796930050485,-36047.95468425211,-22507.044375782538,-32538.194362901973
14362.158103246464,4963.830705145682,-24935.673169573925,-32526.48204880739,-36346.015196563625,-36071.692236863644,-22651.97308683075,-32607.820046880253
14249.974697825277,5013.8315574922035,-24885.940538160867,-32444.965236778884,-36555.0263589652,-35987.247346311495,-22796.924149623414,-32614.838494639218
14238.128273263965,5039.491360126896,-24841.63938065045,-32409.828294495142,-36421.16176142237,-35951.93159007211,-22673.92249988586,-32547.850316506665
14341.21451869184,4990.5857432586845,-24891.707288230336,-32492.976783868886,-36189.30711618747,-36021.445515328116,-22510.12891651737,-32531.06415642073
14357.866568311045,4948.743277638349,-24953.17458548243,-32549.39258687408,-36309.246576934645,-36092.81463537391,-22628.928438297324,-32618.101849329694
14262.715192164802,4998.98999917388,-24900.670337756914,-32462.533707920757,-36545.03512919368,-36010.806084967386,-22793.03494608819,-32631.110564602684
14227.377084180962,5038.932566515514,-24833.369235201986,-32403.03336418073,-36455.94107579483,-35947.058909780855,-22699.001157164712,-32552.566534586735
14317.275800380206,4989.758728713838,-24872.149511831944,-32474.268373759794,-36204.93098556173,-36006.11221863177,-22518.17554452128,-32518.7259934814
