Fp1,Fp2,C3,C4,P7,P8,O1,O2
14288.129125610487,6283.6565117426535,-30784.409437705213,-37843.3809093691,-36080.20825150111,-42037.01520407382,-31152.609724117487,-42538.65540488427
14407.778013679745,6208.80051956183,-30899.20799722767,-37972.238716153945,-36006.805122709884,-42159.27924624435,-31190.764151902695,-42620.373382612874
14370.450600439382,6204.732502070964,-30908.171046754247,-37966.449614340025,-36199.85713957038,-42162.67671140155,-31293.559824652653,-42670.083662281475
14241.078703532065,6276.839229683785,-30793.081914553874,-37842.352729124155,-36295.00851571662,-42045.33005301119,-31267.788263295683,-42600.167405625274
14262.782247398169,6290.451442057067,-30766.773911329976,-37835.580150554204,-36112.305356538935,-42029.28150049228,-31153.101462495502,-42539.59417815139
14405.341673534116,6227.263060481913,-30862.372322365325,-37951.071614154775,-35978.53016597393,-42124.47758012743,-31144.786613558128,-42592.63486774384
14401.094842087608,6206.453586394023,-30902.06902051795,-37982.9675534925,-36141.40732781975,-42152.84194384122,-31251.33737937658,-42662.037034277564
14262.804599142624,6269.105526102248,-30806.068278082406,-37862.20107820047,-36285.84430048994,-42044.257169277334,-31257.931143990892,-42611.075056919464
14250.846415859034,6303.996599196983,-30753.407568145703,-37815.48593228888,-36138.166324873724,-42000.35834316711,-31145.3007036806,-42537.18018975022
14369.824751594633,6229.677048883087,-30863.266392143538,-37952.16684963308,-35989.43781726812,-42115.15690268957,-31133.990720986218,-42594.311248577986
14396.780955407734,6185.040615205839,-30928.3993754863,-38022.26192024493,-36119.45791476464,-42181.67569418856,-31241.70377751634,-42685.59577293346
14283.278797063685,6257.5273224744,-30828.28591207098,-37895.281659994325,-36281.0610271765,-42070.542820756775,-31264.189632438378,-42647.642510848345
14238.24003198624,6305.337703864301,-30755.687446080145,-37820.403316069045,-36173.750302046574,-41985.44972961542,-31161.97510504426,-42561.454184228685
14363.70037361388,6259.963662620028,-30832.5774470064,-37918.43806725003,-35986.35327653328,-42071.101614368155,-31117.226912644735,-42581.727216449646
14427.224031355863,6206.27477243838,-30917.40231721429,-38004.4699316585,-36064.27145770448,-42164.53190619134,-31210.61250097901,-42669.50251692564
14309.340931098573,6239.601223421243,-30860.15949966425,-37928.02696562135,-36269.974561926676,-42090.59233553318,-31275.879594788505,-42669.86014483692
14239.938764564844,6304.890668975195,-30759.688408337643,-37827.62292952811,-36209.58014840843,-41983.75099703682,-31182.02461982067,-42575.93811463572
14341.12511171402,6265.395136522668,-30819.211103822126,-37902.12129379765,-36008.39209656621,-42061.400957274556,-31119.082107434526,-42581.503699005094
14431.157938379996,6200.79859504683,-30920.3974509713,-38006.81686482631,-36032.08494568884,-42160.41918521156,-31197.581433961564,-42675.895115839856
14326.417663862429,6212.823833563785,-30894.78235182552,-37954.04439616733,-36254.864782674886,-42119.44843762499,-31291.883443818504,-42699.76677891812
14235.893098818435,6296.464061315544,-30775.692257367642,-37835.17781915401,-36246.79580292652,-42003.21936645739,-31213.160599846913,-42599.67566724726
14321.612038804536,6284.86350594324,-30795.205330277127,-37886.87740407913,-36027.592245053325,-42034.13182903908,-31115.43877308831,-42561.76710865106
14436.343543093628,6214.075531253283,-30904.21478798566,-38008.22502472699,-35997.95383190559,-42149.22096123946,-31171.318134226578,-42646.14494396984
14367.433114937916,6223.8432435802515,-30890.02143025654,-37965.063806183796,-36201.84644482689,-42131.04899299729,-31267.050655728657,-42682.08654905397
14250.712305392302,6300.397968339678,-30772.22773697707,-37838.41882210002,-36254.68596871924,-42009.656668860516,-31218.27914932718,-42598.82630095796
14302.277779850696,6300.53207880641,-30770.439597420645,-37856.970769997926,-36052.98382675455,-42001.051247245225,-31114.857627732472,-42548.64663465579
14412.807156182189,6213.024999263883,-30899.87854956133,-37999.77606532288,-35989.5942794793,-42149.95856880648,-31163.78559634514,-42642.188685201254
14380.017147066254,6209.269906195392,-30911.83673284492,-38001.47479790149,-36180.120549216335,-42156.82055435426,-31267.832966784594,-42703.90185164235
14251.449912959328,6288.618599011731,-30795.920586099695,-37867.34197942519,-36280.8151579875,-42031.807247615725,-31244.877725228995,-42629.895225750835
14271.588834713559,6311.5961923117875,-30762.61648686129,-37843.06798494673,-36099.14017905476,-42001.207709456416,-31130.615607573465,-42553.76518413606
14394.143449562009,6231.509891928422,-30881.930098763718,-37981.04530346934,-35987.806139922875,-42127.182141206526,-31147.334712426033,-42621.17804541327
14388.130830303531,6200.552725857821,-30929.87459062035,-38025.882902846686,-36155.98066520461,-42183.083854089244,-31265.1284057055,-42706.04761911007
14256.233186272764,6267.071517356815,-30824.217894580117,-37893.113540782164,-36298.04835296254,-42057.064718850226,-31272.77270230922,-42655.197400474244
14240.542261665138,6302.610791040754,-30766.572745629877,-37849.706453049956,-36148.62694127881,-42003.2640699463,-31160.723407354762,-42573.70294019019
